method,holdout,ΔARI,n_OC,Δlp_rare,Δlp_OC,ΔOT_p_OC
harmony,retina_bc1a_holdout,0.0037,0,0.0007,nan,nan
scanorama,retina_bc1a_holdout,-0.0136,4,0.0139,-0.2357,0.0082
scvi,retina_bc1a_holdout,0.0011,4,-0.006,-0.0039,0.1107
harmony,retina_bc2_holdout,0.0037,0,0.0007,nan,nan
scanorama,retina_bc2_holdout,-0.0136,4,0.0139,-0.2357,0.0082
scvi,retina_bc2_holdout,0.0011,4,-0.006,-0.0039,0.1107
harmony,retina_bc4_holdout,0.0037,0,0.0007,nan,nan
scanorama,retina_bc4_holdout,-0.0136,4,0.0139,-0.2357,0.0082
scvi,retina_bc4_holdout,0.0011,4,-0.006,-0.0039,0.1107
harmony,retina_bc89_holdout,0.0037,0,0.0007,nan,nan
scanorama,retina_bc89_holdout,-0.0136,4,0.0139,-0.2357,0.0082
scvi,retina_bc89_holdout,0.0011,4,-0.006,-0.0039,0.1107
