/root/anaconda3/envs/scenv/lib/python3.11/functools.py:909: UserWarning: zero-centering a sparse array/matrix densifies it.
  return dispatch(args[0].__class__)(*args, **kw)
2026-05-12 12:07:18,214 - harmonypy - INFO - Running Harmony
2026-05-12 12:07:18,214 - harmonypy - INFO -   Parameters:
2026-05-12 12:07:18,214 - harmonypy - INFO -     max_iter_harmony: 20
2026-05-12 12:07:18,214 - harmonypy - INFO -     max_iter_kmeans: 4
2026-05-12 12:07:18,214 - harmonypy - INFO -     epsilon_cluster: 0.001
2026-05-12 12:07:18,214 - harmonypy - INFO -     epsilon_harmony: 0.01
2026-05-12 12:07:18,214 - harmonypy - INFO -     nclust: 100
2026-05-12 12:07:18,214 - harmonypy - INFO -     block_size: 0.05
2026-05-12 12:07:18,214 - harmonypy - INFO -     lamb: dynamic (alpha=0.2)
2026-05-12 12:07:18,215 - harmonypy - INFO -     theta: [2. 2. 2. 2. 2.]
2026-05-12 12:07:18,215 - harmonypy - INFO -     sigma: [0.1 0.1 0.1 0.1 0.1]...
2026-05-12 12:07:18,215 - harmonypy - INFO -     verbose: True
2026-05-12 12:07:18,215 - harmonypy - INFO -     random_state: 0
2026-05-12 12:07:18,215 - harmonypy - INFO -   Data: 50 PCs × 28291 cells
2026-05-12 12:07:18,215 - harmonypy - INFO -   Batch variables: ['Sample']
2026-05-12 12:07:18,250 - harmonypy - INFO - Computing initial centroids...
2026-05-12 12:07:19,195 - harmonypy - INFO - Initialization complete.
2026-05-12 12:07:19,195 - harmonypy - INFO - Iteration 1 of 20
2026-05-12 12:07:19,727 - harmonypy - INFO - Iteration 2 of 20
2026-05-12 12:07:20,295 - harmonypy - INFO - Iteration 3 of 20
2026-05-12 12:07:20,866 - harmonypy - INFO - Iteration 4 of 20
2026-05-12 12:07:21,450 - harmonypy - INFO - Iteration 5 of 20
2026-05-12 12:07:22,031 - harmonypy - INFO - Iteration 6 of 20
2026-05-12 12:07:22,611 - harmonypy - INFO - Iteration 7 of 20
2026-05-12 12:07:23,195 - harmonypy - INFO - Iteration 8 of 20
2026-05-12 12:07:23,785 - harmonypy - INFO - Iteration 9 of 20
2026-05-12 12:07:24,356 - harmonypy - INFO - Iteration 10 of 20
2026-05-12 12:07:24,941 - harmonypy - INFO - Iteration 11 of 20
2026-05-12 12:07:25,521 - harmonypy - INFO - Iteration 12 of 20
2026-05-12 12:07:26,100 - harmonypy - INFO - Iteration 13 of 20
2026-05-12 12:07:26,672 - harmonypy - INFO - Iteration 14 of 20
2026-05-12 12:07:27,258 - harmonypy - INFO - Iteration 15 of 20
2026-05-12 12:07:27,833 - harmonypy - INFO - Iteration 16 of 20
2026-05-12 12:07:28,412 - harmonypy - INFO - Iteration 17 of 20
2026-05-12 12:07:28,995 - harmonypy - INFO - Converged after 17 iterations
