cancer_type,n_cells,n_plasmablast,frac_plasmablast,global_frac,D_col
CRC,31859,2623,0.0823,0.02,0.0623
LC,30167,1372,0.0455,0.02,0.0255
Colon Normal,29663,1244,0.0419,0.02,0.0219
HNSC,75379,536,0.0071,0.02,-0.0129
BRCA,16691,485,0.0291,0.02,0.0091
HCC,5798,244,0.0421,0.02,0.0221
Lung Normal,10905,176,0.0161,0.02,-0.0039
RCC,2911,160,0.055,0.02,0.035
Small Intestine Normal,12556,128,0.0102,0.02,-0.0098
OV,8608,118,0.0137,0.02,-0.0063
CHOL,1158,76,0.0656,0.02,0.0456
Head and Neck Normal,7713,63,0.0082,0.02,-0.0118
Liver Normal,2251,60,0.0267,0.02,0.0067
MM,16716,42,0.0025,0.02,-0.0175
UVM,1921,40,0.0208,0.02,0.0008
THCA,23060,24,0.001,0.02,-0.019
SARC-OST,1364,23,0.0169,0.02,-0.0031
MEL,1129,14,0.0124,0.02,-0.0076
Kidney Normal,4771,13,0.0027,0.02,-0.0173
STAD,11924,11,0.0009,0.02,-0.0191
PAAD,4742,11,0.0023,0.02,-0.0177
Fallopian Tube Normal,124,8,0.0645,0.02,0.0445
Lymph Node Normal,7312,5,0.0007,0.02,-0.0193
PRAD,2468,4,0.0016,0.02,-0.0184
Neuroendocrine Normal,130,3,0.0231,0.02,0.0031
NB,911,2,0.0022,0.02,-0.0178
Stomach Normal,3115,2,0.0006,0.02,-0.0194
ALL,17906,1,0.0001,0.02,-0.0199
BLCA,189,1,0.0053,0.02,-0.0147
UCEC,199,1,0.005,0.02,-0.015
NHL,35199,1,0.0,0.02,-0.02
Bladder Normal,63,1,0.0159,0.02,-0.0041
Breast Normal,356,1,0.0028,0.02,-0.0172
GBM,548,0,0.0,0.02,-0.02
Bile Duct Normal,768,0,0.0,0.02,-0.02
Stomach Metaplasia,924,0,0.0,0.02,-0.02
LGG,11,0,0.0,0.02,-0.02
Ovary Normal,232,0,0.0,0.02,-0.02
Skin Normal,7,0,0.0,0.02,-0.02
NET,134,0,0.0,0.02,-0.02
CLL,2331,0,0.0,0.02,-0.02
WILM,17,0,0.0,0.02,-0.02
Pancreas Normal,101,0,0.0,0.02,-0.02
SSCC,238,0,0.0,0.02,-0.02
Thyroid Normal,40,0,0.0,0.02,-0.02
