cancer_type,n_cells,n_myCAF,frac_myCAF,global_frac,D_col
OV,61908,7625,0.1232,0.02,0.1032
BRCA,40470,3887,0.096,0.02,0.076
PAAD,23177,2210,0.0954,0.02,0.0754
CRC,18172,1171,0.0644,0.02,0.0444
HNSC,31435,592,0.0188,0.02,-0.0012
SARC-OST,88539,372,0.0042,0.02,-0.0158
LC,13799,332,0.0241,0.02,0.0041
BLCA,3357,125,0.0372,0.02,0.0172
STAD,2870,94,0.0328,0.02,0.0128
Small Intestine Normal,119712,41,0.0003,0.02,-0.0197
Ovary Normal,60443,29,0.0005,0.02,-0.0195
THCA,23896,29,0.0012,0.02,-0.0188
SSCC,885,27,0.0305,0.02,0.0105
UCEC,19326,19,0.001,0.02,-0.019
PRAD,13709,19,0.0014,0.02,-0.0186
RCC,47186,18,0.0004,0.02,-0.0196
CHOL,2858,16,0.0056,0.02,-0.0144
HCC,21026,11,0.0005,0.02,-0.0195
GBM,8121,10,0.0012,0.02,-0.0188
Fallopian Tube Normal,13468,6,0.0004,0.02,-0.0196
SARC-EWING,3627,6,0.0017,0.02,-0.0183
UVM,1843,4,0.0022,0.02,-0.0178
Colon Normal,58128,3,0.0001,0.02,-0.0199
NET,10058,2,0.0002,0.02,-0.0198
SARC-SYN,7822,1,0.0001,0.02,-0.0199
SARC-RHAB,23348,1,0.0,0.02,-0.02
Lung Normal,8657,1,0.0001,0.02,-0.0199
Breast Normal,29153,0,0.0,0.02,-0.02
LGG,380,0,0.0,0.02,-0.02
Bile Duct Normal,819,0,0.0,0.02,-0.02
Bladder Normal,4574,0,0.0,0.02,-0.02
Brain Normal,12,0,0.0,0.02,-0.02
MEL,1091,0,0.0,0.02,-0.02
Lymph Node Normal,1563,0,0.0,0.02,-0.02
Kidney Normal,30637,0,0.0,0.02,-0.02
Head and Neck Normal,1917,0,0.0,0.02,-0.02
Stomach Metaplasia,1060,0,0.0,0.02,-0.02
Stomach Normal,1410,0,0.0,0.02,-0.02
Liver Normal,4702,0,0.0,0.02,-0.02
NB,3737,0,0.0,0.02,-0.02
Neuroendocrine Normal,69,0,0.0,0.02,-0.02
NHL,3567,0,0.0,0.02,-0.02
Skin Normal,8404,0,0.0,0.02,-0.02
Pancreas Normal,5072,0,0.0,0.02,-0.02
Prostate Normal,4077,0,0.0,0.02,-0.02
WILM,115,0,0.0,0.02,-0.02
Thyroid Normal,2309,0,0.0,0.02,-0.02
