cancer_type,n_cells,n_tpex,frac_tpex,global_frac,D_col
HNSC,1413,77,0.0545,0.02,0.0345
LC,1362,44,0.0323,0.02,0.0123
UVM,269,26,0.0967,0.02,0.0766
RCC,771,25,0.0324,0.02,0.0124
BRCA,1545,23,0.0149,0.02,-0.0051
NHL,413,21,0.0508,0.02,0.0308
CRC,1244,17,0.0137,0.02,-0.0063
Lung Normal,726,17,0.0234,0.02,0.0034
SSCC,140,13,0.0929,0.02,0.0728
OV,671,11,0.0164,0.02,-0.0036
THCA,357,9,0.0252,0.02,0.0052
Head and Neck Normal,117,8,0.0684,0.02,0.0484
MEL,79,7,0.0886,0.02,0.0686
SARC-OST,168,7,0.0417,0.02,0.0217
Colon Normal,884,4,0.0045,0.02,-0.0155
STAD,265,3,0.0113,0.02,-0.0087
Stomach Normal,105,1,0.0095,0.02,-0.0105
Small Intestine Normal,525,1,0.0019,0.02,-0.0181
HCC,800,0,0.0,0.02,-0.02
GBM,216,0,0.0,0.02,-0.02
Bladder Normal,16,0,0.0,0.02,-0.02
Brain Normal,6,0,0.0,0.02,-0.02
Breast Normal,33,0,0.0,0.02,-0.02
BLCA,61,0,0.0,0.02,-0.02
ALL,80,0,0.0,0.02,-0.02
CHOL,409,0,0.0,0.02,-0.02
Fallopian Tube Normal,178,0,0.0,0.02,-0.02
Bile Duct Normal,37,0,0.0,0.02,-0.02
LGG,10,0,0.0,0.02,-0.02
Liver Normal,238,0,0.0,0.02,-0.02
Kidney Normal,746,0,0.0,0.02,-0.02
PRAD,319,0,0.0,0.02,-0.02
PAAD,592,0,0.0,0.02,-0.02
Ovary Normal,157,0,0.0,0.02,-0.02
Neuroendocrine Normal,16,0,0.0,0.02,-0.02
NB,121,0,0.0,0.02,-0.02
NET,30,0,0.0,0.02,-0.02
Lymph Node Normal,113,0,0.0,0.02,-0.02
MM,88,0,0.0,0.02,-0.02
SARC-RHAB,8,0,0.0,0.02,-0.02
SARC-SYN,30,0,0.0,0.02,-0.02
Prostate Normal,36,0,0.0,0.02,-0.02
Pancreas Normal,39,0,0.0,0.02,-0.02
Stomach Metaplasia,63,0,0.0,0.02,-0.02
Skin Normal,129,0,0.0,0.02,-0.02
UCEC,58,0,0.0,0.02,-0.02
WILM,6,0,0.0,0.02,-0.02
