dataset,method,motif,n,pi,delta_sigma,pred_TPR,emp_TPR,color
retina,harmony,bc89,19829,0.011,0.5,0.08276786429951366,0.0,#5c8dd6
retina,scanorama,bc89,19829,0.011,0.5,0.08276786429951366,1.0,#bd4848
retina,scvi,bc89,19829,0.011,0.5,0.08276786429951366,0.0,#7fbd48
retina,harmony,bc4,19829,0.015,0.5,0.09803753914273206,0.0,#5c8dd6
retina,scanorama,bc4,19829,0.015,0.5,0.09803753914273206,1.0,#bd4848
retina,scvi,bc4,19829,0.015,0.5,0.09803753914273206,1.0,#7fbd48
retina,harmony,bc2,19829,0.021,0.5,0.12466065180778202,0.0,#5c8dd6
retina,scanorama,bc2,19829,0.021,0.5,0.12466065180778202,1.0,#bd4848
retina,scvi,bc2,19829,0.021,0.5,0.12466065180778202,1.0,#7fbd48
retina,harmony,bc1a,19829,0.042,0.5,0.25490124963282645,0.0,#5c8dd6
retina,scanorama,bc1a,19829,0.042,0.5,0.25490124963282645,1.0,#bd4848
retina,scvi,bc1a,19829,0.042,0.5,0.25490124963282645,0.0,#7fbd48
pancreas_synth,harmony,epsilon,6000,0.05,1.0,0.3617222105990048,1.0,#5c8dd6
pancreas_synth,scanorama,epsilon,6000,0.05,1.0,0.3617222105990048,1.0,#bd4848
pancreas_synth,scvi,epsilon,6000,0.05,1.0,0.3617222105990048,1.0,#7fbd48
