dataset,holdout,method,n,pi,delta_sigma,rare_min_p_raw,rare_min_p_bh,non_rare_flag_rate_raw,non_rare_flag_rate_bh,raw_tight_TPR,bh_tight_TPR,n_motifs,n_rare_motifs,emp_TPR_flagged
retina,bc89,harmony,19829,0.011,0.5,0.5189620758483033,1.0,0.3333333333333333,0.1904761904761904,0.0,0.0,22,1,0.0
retina,bc89,scanorama,19829,0.011,0.5,0.0019960079840319,0.0036593479707252,0.5714285714285714,0.5238095238095238,0.0,0.0,22,1,1.0
retina,bc89,scvi,19829,0.011,0.5,0.155688622754491,0.311377245508982,0.3809523809523809,0.3333333333333333,0.0,0.0,22,1,0.0
retina,bc4,harmony,19829,0.015,0.5,1.0,1.0,0.3333333333333333,0.1904761904761904,0.0,0.0,22,1,0.0
retina,bc4,scanorama,19829,0.015,0.5,0.0019960079840319,0.0036593479707252,0.5714285714285714,0.5238095238095238,0.0,0.0,22,1,1.0
retina,bc4,scvi,19829,0.015,0.5,0.0019960079840319,0.0062731679498146,0.3333333333333333,0.2857142857142857,0.0,0.0,22,1,1.0
retina,bc2,harmony,19829,0.021,0.5,1.0,1.0,0.3333333333333333,0.1904761904761904,0.0,0.0,22,1,0.0
retina,bc2,scanorama,19829,0.021,0.5,0.0019960079840319,0.0036593479707252,0.5714285714285714,0.5238095238095238,0.0,0.0,22,1,1.0
retina,bc2,scvi,19829,0.021,0.5,0.0019960079840319,0.0062731679498146,0.3333333333333333,0.2857142857142857,0.0,0.0,22,1,1.0
retina,bc1a,harmony,19829,0.042,0.5,1.0,1.0,0.3333333333333333,0.1904761904761904,0.0,0.0,22,1,0.0
retina,bc1a,scanorama,19829,0.042,0.5,0.0019960079840319,0.0036593479707252,0.5714285714285714,0.5238095238095238,0.0,0.0,22,1,1.0
retina,bc1a,scvi,19829,0.042,0.5,0.1117764471057884,0.2459081836327345,0.3809523809523809,0.3333333333333333,0.0,0.0,22,1,0.0
pancreas_synth,pancreas_synth,harmony,6000,0.05,1.0,0.2335329341317365,0.5604790419161677,0.2222222222222222,0.0,0.0,0.0,12,3,0.0
pancreas_synth,pancreas_synth,scanorama,6000,0.05,1.0,0.0019960079840319,0.0079840319361277,0.1111111111111111,0.1111111111111111,0.0,0.0,12,3,1.0
pancreas_synth,pancreas_synth,scvi,6000,0.05,1.0,0.0019960079840319,0.0039920159680638,0.3333333333333333,0.3333333333333333,0.0,0.0,12,3,1.0
cheng5_pancancer,cheng5_lamp3,harmony,20341,0.015,0.8,0.005988023952095809,0.012724550898203594,0.4705882352941176,0.45454545454545453,0.0,0.0,34,1,1.0
cheng5_pancancer,cheng5_lamp3,scanorama,20341,0.015,0.8,0.001996007984031936,0.006169479223371438,0.4117647058823529,0.36363636363636365,0.0,0.0,34,1,1.0
cheng5_pancancer,cheng5_lamp3,scvi,20341,0.015,0.8,0.001996007984031936,0.0052203285736219865,0.4411764705882353,0.3939393939393939,0.0,0.0,34,1,1.0
