dataset,method,motif,kappa,delta_sigma,pred_tau_sq,emp_detection
retina,scanorama,motif_11_bc89,1.0,0.5003282800316811,0.25032838779946026,0.0
retina,scanorama,motif_21_bc89,1.0,0.4760154988616705,0.22659075515652502,0.0
retina,scanorama,motif_5_bc89,1.0,0.4621249623596668,0.21355948083592347,0.0
retina,scanorama,motif_16_bc89,1.0,0.4502006806433201,0.2026806528517087,0.0
retina,scvi,motif_11_bc89,1.0,0.7308405358344316,0.5341278888187592,0.0
retina,scvi,motif_21_bc89,1.0,0.7556463591754436,0.5710014201351036,0.0
retina,scvi,motif_5_bc89,1.0,0.7237913552671671,0.5238739259594825,1.0
retina,scvi,motif_16_bc89,1.0,0.7141176611185074,0.5099640339213674,0.0
retina,scanorama,motif_11_bc4,1.0,0.5003282800316811,0.25032838779946026,0.0
retina,scanorama,motif_21_bc4,1.0,0.4760154988616705,0.22659075515652502,0.0
retina,scanorama,motif_5_bc4,1.0,0.4621249623596668,0.21355948083592347,0.0
retina,scanorama,motif_16_bc4,1.0,0.4502006806433201,0.2026806528517087,0.0
retina,scvi,motif_11_bc4,1.0,0.7308405358344316,0.5341278888187592,0.0
retina,scvi,motif_21_bc4,1.0,0.7556463591754436,0.5710014201351036,0.0
retina,scvi,motif_5_bc4,1.0,0.7237913552671671,0.5238739259594825,1.0
retina,scvi,motif_16_bc4,1.0,0.7141176611185074,0.5099640339213674,0.0
retina,scanorama,motif_11_bc2,1.0,0.5003282800316811,0.25032838779946026,0.0
retina,scanorama,motif_21_bc2,1.0,0.4760154988616705,0.22659075515652502,0.0
retina,scanorama,motif_5_bc2,1.0,0.4621249623596668,0.21355948083592347,0.0
retina,scanorama,motif_16_bc2,1.0,0.4502006806433201,0.2026806528517087,0.0
retina,scvi,motif_11_bc2,1.0,0.7308405358344316,0.5341278888187592,0.0
retina,scvi,motif_21_bc2,1.0,0.7556463591754436,0.5710014201351036,0.0
retina,scvi,motif_5_bc2,1.0,0.7237913552671671,0.5238739259594825,1.0
retina,scvi,motif_16_bc2,1.0,0.7141176611185074,0.5099640339213674,0.0
retina,scanorama,motif_11_bc1a,1.0,0.5003282800316811,0.25032838779946026,0.0
retina,scanorama,motif_21_bc1a,1.0,0.4760154988616705,0.22659075515652502,0.0
retina,scanorama,motif_5_bc1a,1.0,0.4621249623596668,0.21355948083592347,0.0
retina,scanorama,motif_16_bc1a,1.0,0.4502006806433201,0.2026806528517087,0.0
retina,scvi,motif_11_bc1a,1.0,0.7308405358344316,0.5341278888187592,0.0
retina,scvi,motif_21_bc1a,1.0,0.7556463591754436,0.5710014201351036,0.0
retina,scvi,motif_5_bc1a,1.0,0.7237913552671671,0.5238739259594825,1.0
retina,scvi,motif_16_bc1a,1.0,0.7141176611185074,0.5099640339213674,0.0
