method,motif,top_label,top_label_purity,n_cells,pathway_membership,kappa,channel_ot_p_value,emp_detection,channel_proc_displacement,kappa_geom
harmony,0,BC5A,0.9790794979079498,1673,ON_bipolar,0.5,,0.0,,
harmony,1,BC5C,0.9911591355599214,1018,ON_bipolar,0.5,,0.0,,
harmony,2,BC6,0.9670947030497592,1246,ON_bipolar,0.5,,0.0,,
harmony,3,BC8_9,0.949238578680203,197,ON_bipolar,0.0,0.5247524752475248,0.0,0.0078451866284012,0.0078451866284012
harmony,4,BC1A,0.964243146603099,839,OFF_bipolar,0.0,1.0,0.0,0.00366175128147,0.00366175128147
harmony,5,RBC,0.9977973568281938,908,abundant_RBC_MG,0.0,0.0099009900990099,1.0,0.0019538558553904,0.0019538558553904
harmony,6,RBC,0.9944802207911684,1087,abundant_RBC_MG,0.5,,0.0,,
harmony,7,RBC,0.996358670914884,2197,abundant_RBC_MG,0.5,,0.0,,
harmony,8,RBC,1.0,1007,abundant_RBC_MG,0.5,,0.0,,
harmony,9,RBC,0.9880239520958084,2171,abundant_RBC_MG,0.5,,0.0,,
harmony,10,BC1B,0.905511811023622,635,OFF_bipolar,0.0,0.6831683168316832,0.0,0.0034888116642832,0.0034888116642832
harmony,11,RBC,0.9702194357366772,638,abundant_RBC_MG,0.0,0.0099009900990099,1.0,0.002301558619365,0.002301558619365
harmony,12,BC7,0.9847328244274808,1310,ON_bipolar,0.5,,0.0,,
harmony,13,BC5D,0.961038961038961,385,ON_bipolar,0.0,1.0,0.0,0.0048469109460711,0.0048469109460711
harmony,14,BC3A,0.9692671394799054,423,OFF_bipolar,0.0,1.0,0.0,0.0045690038241446,0.0045690038241446
harmony,15,MG,1.0,2214,abundant_RBC_MG,0.5,,0.0,,
harmony,16,RBC,0.9923076923076924,130,abundant_RBC_MG,0.0,0.0792079207920792,0.0,0.0018676262116059,0.0018676262116059
harmony,17,BC5B,0.9315068493150684,365,ON_bipolar,0.0,1.0,0.0,0.003769350470975,0.003769350470975
